,Word,POS,Lemma,Synonyms,Antonyms,Example,definition
0,drawing,Noun,drawing,['drawing'],[],['it is shown by the drawing in Fig. 7'],"an illustration that is drawn by hand and published in a book, magazine, or newspaper"
1,drawing,Noun,drawing,['drawing'],[],"['drawings of abstract forms', 'he did complicated pen-and-ink drawings like medieval miniatures']",a representation of forms or objects on a surface by means of lines
2,drawing,Noun,drawing,"['drawing', 'draftsmanship', 'drafting']",[],['he learned drawing from his father'],the creation of artistic pictures or diagrams
3,drawing,Noun,lottery,"['lottery', 'drawing']",[],[],players buy (or are given) chances and prizes are distributed by casting lots
4,drawing,Noun,drawing,"['drawing', 'drawing_off']",[],['the drawing of water from the well'],act of getting or draining something such as electricity or a liquid from a source
5,drawing,Noun,draft,"['draft', 'draught', 'drawing']",[],[],the act of moving a load by drawing or pulling
6,drawing,Verb,pull,"['pull', 'draw', 'force']",['push'],"['draw a wagon', 'pull a sled']",cause to move by pulling
7,drawing,Verb,reap,"['reap', 'draw']",[],['He drew great benefits from his membership in the association'],get or derive
8,drawing,Verb,trace,"['trace', 'draw', 'line', 'describe', 'delineate']",[],"['draw a line', 'trace the outline of a figure in the sand']",make a mark or lines on a surface
9,drawing,Verb,draw,"['draw', 'make']",[],"['I draw a line here', 'draw a conclusion', 'draw parallels', 'make an estimate', 'What do you make of his remarks?']","make, formulate, or derive in the mind"
10,drawing,Verb,draw,"['draw', 'pull', 'pull_out', 'get_out', 'take_out']",[],"['draw a weapon', 'pull out a gun', 'The mugger pulled a knife on his victim']","bring, take, or pull out of a container or from under a cover"
11,drawing,Verb,draw,['draw'],[],"['She drew an elephant', 'Draw me a horse']","represent by making a drawing of, as with a pencil, chalk, etc. on a surface"
12,drawing,Verb,draw,"['draw', 'take_out']",[],['She drew water from the barrel'],take liquid out of a container or well
13,drawing,Verb,describe,"['describe', 'depict', 'draw']",[],['He drew an elaborate plan of attack'],give a description of
14,drawing,Verb,draw,['draw'],[],['The participants in the experiment were drawn from a representative population'],select or take in from a given group or region
15,drawing,Verb,draw,['draw'],[],"[""The President's comments drew sharp criticism from the Republicans"", 'The comedian drew a lot of laughter']","elicit responses, such as objections, criticism, applause, etc."
16,drawing,Verb,puff,"['puff', 'drag', 'draw']",[],"['draw a deep breath', 'draw on a cigarette']",suck in or take (air)
17,drawing,Verb,draw,['draw'],[],['The ship drew near the shore'],move or go steadily or gradually
18,drawing,Verb,withdraw,"['withdraw', 'draw', 'take_out', 'draw_off']",['deposit'],"['She drew $2,000 from the account', ""The doctors drew medical supplies from the hospital's emergency bank""]",remove (a commodity) from (a supply source)
19,drawing,Verb,draw,"['draw', 'cast']",[],"['draw a card', 'cast lots']",choose at random
20,drawing,Verb,draw,"['draw', 'get']",[],['He drew a base on balls'],earn or achieve a base by being walked by the pitcher
21,drawing,Verb,draw,['draw'],[],"['She was drawn to despair', 'The President refused to be drawn into delivering an ultimatum', 'The session was drawn to a close']",bring or lead someone to a certain action or condition
22,drawing,Verb,draw,['draw'],[],['The nurse drew blood'],cause to flow
23,drawing,Verb,draw,['draw'],[],"[""The deed was drawn in the lawyer's office""]",write a legal document or paper
24,drawing,Verb,draw,['draw'],[],['He spent the day drawing in the garden'],engage in drawing
25,drawing,Verb,draw,['draw'],[],"['draw the shades', 'draw the curtains']",move or pull so as to cover or uncover something
26,drawing,Verb,draw,['draw'],[],['This chimney draws very well'],allow a draft
27,drawing,Verb,draw,['draw'],[],['This boat draws 70 inches'],require a specified depth for floating
28,drawing,Verb,draw,"['draw', 'quarter', 'draw_and_quarter']",[],"['in the old days, people were drawn and quartered for certain crimes']","pull (a person) apart with four horses tied to his extremities, so as to execute him"
29,drawing,Verb,pull,"['pull', 'draw']",[],['A declining dollar pulled down the export figures for the last quarter'],"cause to move in a certain direction by exerting a force upon, either physically or in an abstract sense"
30,drawing,Verb,absorb,"['absorb', 'suck', 'imbibe', 'soak_up', 'sop_up', 'suck_up', 'draw', 'take_in', 'take_up']",[],"['The sponge absorbs water well', ""She drew strength from the minister's words""]","take in, also metaphorically"
31,drawing,Verb,attract,"['attract', 'pull', 'pull_in', 'draw', 'draw_in']",['repel'],"['Her good looks attract the stares of many men', 'The ad pulled in many potential customers', 'This pianist pulls huge crowds', 'The store owner was happy that the ad drew in many new customers']",direct toward itself or oneself by means of some psychological power or physical attributes
32,drawing,Verb,string,"['string', 'thread', 'draw']",[],"['string pearls on a string', 'the child drew glass beads on a string', 'thread dried cranberries']",thread on or as if on a string
33,drawing,Verb,pull_back,"['pull_back', 'draw']",[],['The archers were drawing their bows'],stretch back a bowstring (on an archer's bow)
34,drawing,Verb,guide,"['guide', 'run', 'draw', 'pass']",[],"['He ran his eyes over her body', 'She ran her fingers along the carved figurine', 'He drew her hair through his fingers']","pass over, across, or through"
35,drawing,Verb,tie,"['tie', 'draw']",[],['The teams drew a tie'],"finish a game with an equal number of points, goals, etc."
36,drawing,Verb,draw,['draw'],[],['The material drew after it was washed in hot water'],contract
37,drawing,Verb,draw,['draw'],[],['draw wire'],reduce the diameter of (a wire or metal rod) by pulling it through a die
38,drawing,Verb,draw,['draw'],[],['draw pulp from the fruit'],steep; pass through a strainer
39,drawing,Verb,disembowel,"['disembowel', 'eviscerate', 'draw']",[],['draw a chicken'],remove the entrails of
40,drawing,Verb,draw,['draw'],[],['draw steel'],"flatten, stretch, or mold metal or glass, by rolling or by pulling it through a die or by stretching"
41,drawing,Verb,draw,['draw'],[],['Draw blood and pus'],cause to localize at one point
42,hobby,Noun,avocation,"['avocation', 'by-line', 'hobby', 'pursuit', 'sideline', 'spare-time_activity']",[],[],an auxiliary activity
43,hobby,Noun,hobby,"['hobby', 'hobbyhorse', 'rocking_horse']",[],[],a child's plaything consisting of an imitation horse mounted on rockers; the child straddles it and pretends to ride
44,hobby,Noun,hobby,"['hobby', 'Falco_subbuteo']",[],[],small Old World falcon formerly trained and flown at small birds
45,collecting,Noun,collection,"['collection', 'collecting', 'assembling', 'aggregation']",[],[],the act of gathering something together
46,collecting,Verb,roll_up,"['roll_up', 'collect', 'accumulate', 'pile_up', 'amass', 'compile', 'hoard']",[],"[""I am accumulating evidence for the man's unfaithfulness to his wife"", 'She is amassing a lot of data for her thesis', 'She rolled up a small fortune']",get or gather together
47,collecting,Verb,collect,"['collect', 'take_in']",[],"['we collected over a million dollars in outstanding debts', 'he collected the rent']",call for and obtain payment of
48,collecting,Verb,gather,"['gather', 'garner', 'collect', 'pull_together']",['spread'],"['gather some stones', 'pull your thoughts together']",assemble or get together
49,collecting,Verb,collect,"['collect', 'pull_in']",[],['accumulate evidence'],get or bring together
50,collecting,Verb,collect,"['collect', 'pick_up', 'gather_up', 'call_for']",[],"['You can get the results on Monday', 'She picked up the children at the day care center', 'They pick up our trash twice a week']",gather or collect
51,read,Noun,read,['read'],[],['the article was a very good read'],something that is read
52,read,Verb,read,['read'],[],"['read the advertisement', 'Have you read Salman Rushdie?']",interpret something that is written or printed
53,read,Verb,read,"['read', 'say']",[],"['The passage reads as follows', 'What does the law say?']",have or contain a certain wording or form
54,read,Verb,read,['read'],[],['The King will read the proclamation at noon'],"look at, interpret, and say out loud something that is written or printed"
55,read,Verb,read,"['read', 'scan']",[],['This dictionary can be read by the computer'],obtain data from magnetic tapes
56,read,Verb,read,['read'],[],"['She read the sky and predicted rain', ""I can't read his strange behavior"", 'The fortune teller read his fate in the crystal ball']","interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior"
57,read,Verb,take,"['take', 'read']",[],"['I read this address as a satire', 'How should I take this message?', ""You can't take credit for this!""]",interpret something in a certain way; convey a particular meaning or impression
58,read,Verb,learn,"['learn', 'study', 'read', 'take']",[],['She is reading for the bar exam'],be a student of a certain subject
59,read,Verb,read,"['read', 'register', 'show', 'record']",[],"['The thermometer showed thirteen degrees below zero', ""The gauge read `empty'""]",indicate a certain reading; of gauges and instruments
60,read,Verb,read,['read'],[],"[""He is auditioning for `Julius Caesar' at Stratford this year""]",audition for a stage role by reading parts of a role
61,read,Verb,read,['read'],[],['I read you loud and clear!'],to hear and understand
62,read,Verb,understand,"['understand', 'read', 'interpret', 'translate']",[],"['She understands French', 'Can you read Greek?']",make sense of a language
63,drink,Noun,drink,['drink'],[],"['I asked for a hot drink', 'likes a drink before dinner']",a single serving of a beverage
64,drink,Noun,drink,"['drink', 'drinking', 'boozing', 'drunkenness', 'crapulence']",[],['drink was his downfall'],the act of drinking alcoholic beverages to excess
65,drink,Noun,beverage,"['beverage', 'drink', 'drinkable', 'potable']",[],['may I take your beverage order?'],any liquid suitable for drinking
66,drink,Noun,drink,['drink'],[],['he jumped into the drink and had to be rescued'],any large deep body of water
67,drink,Noun,swallow,"['swallow', 'drink', 'deglutition']",[],"['one swallow of the liquid was enough', 'he took a drink of his beer and smacked his lips']",the act of swallowing
68,drink,Verb,drink,"['drink', 'imbibe']",[],"['The patient must drink several liters each day', 'The children like to drink soda']",take in liquids
69,drink,Verb,drink,"['drink', 'booze', 'fuddle']",[],['We were up drinking all night'],consume alcohol
70,drink,Verb,toast,"['toast', 'drink', 'pledge', 'salute', 'wassail']",[],"['Let us toast the birthday girl!', ""Let's drink to the New Year""]",propose a toast to
71,drink,Verb,drink_in,"['drink_in', 'drink']",[],['The mother drinks in every word of her son on the stage'],be fascinated or spell-bound by; pay close attention to
72,drink,Verb,drink,"['drink', 'tope']",[],['The husband drinks and beats his wife'],drink excessive amounts of alcohol; be an alcoholic
73,peanuts,Noun,peanuts,['peanuts'],[],['her salary is peanuts compared to his'],an insignificant sum of money; a trifling amount
74,peanuts,Noun,peanut,['peanut'],[],[],underground pod of the peanut vine
75,peanuts,Noun,peanut,"['peanut', 'peanut_vine', 'Arachis_hypogaea']",[],[],widely cultivated American plant cultivated in tropical and warm regions; showy yellow flowers on stalks that bend over to the soil so that seed pods ripen underground
76,peanuts,Noun,peanut,['peanut'],[],[],a young child who is small for his age
77,peanuts,Noun,peanut,"['peanut', 'earthnut', 'goober', 'goober_pea', 'groundnut', 'monkey_nut']",[],[],pod of the peanut vine containing usually 2 nuts or seeds; `groundnut' and `monkey nut' are British terms
78,interesting,Verb,interest,['interest'],['bore'],[],excite the curiosity of; engage the interest of
79,interesting,Verb,concern,"['concern', 'interest', 'occupy', 'worry']",[],['I worry about the second Germanic consonant shift'],be on the mind of
80,interesting,Verb,matter_to,"['matter_to', 'interest']",[],['This matters to me!'],be of importance or consequence
81,interesting,Adjective,interesting,['interesting'],['uninteresting'],[],arousing or holding the attention
82,greeted,Verb,greet,"['greet', 'recognize', 'recognise']",[],[],express greetings upon meeting someone
83,greeted,Verb,greet,['greet'],[],[],send greetings to
84,greeted,Verb,greet,['greet'],[],['The President was greeted with catcalls'],react to in a certain way
85,greeted,Verb,greet,['greet'],[],['Loud music greeted him when he entered the apartment'],be perceived by
86,loudest,Adjective,loud,['loud'],['soft'],"['a group of loud children', 'loud thunder', 'her voice was too loud', 'loud trombones']",characterized by or producing sound of great volume or intensity
